PRIMARY_KEY,STATE,YEAR,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1990_ALABAMA,ALABAMA,1990,,253.0,,
1990_ALASKA,ALASKA,1990,,,,
1990_ARIZONA,ARIZONA,1990,,260.0,,
1990_ARKANSAS,ARKANSAS,1990,,256.0,,
1990_CALIFORNIA,CALIFORNIA,1990,,256.0,,
1990_COLORADO,COLORADO,1990,,267.0,,
1990_CONNECTICUT,CONNECTICUT,1990,,270.0,,
1990_DELAWARE,DELAWARE,1990,,261.0,,
1990_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1990,,231.0,,
1990_DODEA,DODEA,1990,,,,
1990_FLORIDA,FLORIDA,1990,,255.0,,
1990_GEORGIA,GEORGIA,1990,,259.0,,
1990_HAWAII,HAWAII,1990,,251.0,,
1990_IDAHO,IDAHO,1990,,271.0,,
1990_ILLINOIS,ILLINOIS,1990,,261.0,,
1990_INDIANA,INDIANA,1990,,267.0,,
1990_IOWA,IOWA,1990,,278.0,,
1990_KANSAS,KANSAS,1990,,,,
1990_KENTUCKY,KENTUCKY,1990,,257.0,,
1990_LOUISIANA,LOUISIANA,1990,,246.0,,
1990_MAINE,MAINE,1990,,,,
1990_MARYLAND,MARYLAND,1990,,261.0,,
1990_MASSACHUSETTS,MASSACHUSETTS,1990,,,,
1990_MICHIGAN,MICHIGAN,1990,,264.0,,
1990_MINNESOTA,MINNESOTA,1990,,275.0,,
1990_MISSISSIPPI,MISSISSIPPI,1990,,,,
1990_MISSOURI,MISSOURI,1990,,,,
1990_MONTANA,MONTANA,1990,,280.0,,
1990_NATIONAL,NATIONAL,1990,213.0,263.0,,
1990_NEBRASKA,NEBRASKA,1990,,276.0,,
1990_NEVADA,NEVADA,1990,,,,
1990_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1990,,273.0,,
1990_NEW_JERSEY,NEW_JERSEY,1990,,270.0,,
1990_NEW_MEXICO,NEW_MEXICO,1990,,256.0,,
1990_NEW_YORK,NEW_YORK,1990,,261.0,,
1990_NORTH_CAROLINA,NORTH_CAROLINA,1990,,250.0,,
1990_NORTH_DAKOTA,NORTH_DAKOTA,1990,,281.0,,
1990_OHIO,OHIO,1990,,264.0,,
1990_OKLAHOMA,OKLAHOMA,1990,,263.0,,
1990_OREGON,OREGON,1990,,271.0,,
1990_PENNSYLVANIA,PENNSYLVANIA,1990,,266.0,,
1990_RHODE_ISLAND,RHODE_ISLAND,1990,,260.0,,
1990_SOUTH_CAROLINA,SOUTH_CAROLINA,1990,,,,
1990_SOUTH_DAKOTA,SOUTH_DAKOTA,1990,,,,
1990_TENNESSEE,TENNESSEE,1990,,,,
1990_TEXAS,TEXAS,1990,,258.0,,
1990_UTAH,UTAH,1990,,,,
1990_VERMONT,VERMONT,1990,,,,
1990_VIRGINIA,VIRGINIA,1990,,264.0,,
1990_WASHINGTON,WASHINGTON,1990,,,,
1990_WEST_VIRGINIA,WEST_VIRGINIA,1990,,256.0,,
1990_WISCONSIN,WISCONSIN,1990,,274.0,,
1990_WYOMING,WYOMING,1990,,272.0,,
1992_ALABAMA,ALABAMA,1992,208.0,252.0,207.0,
1992_ALASKA,ALASKA,1992,,,,
1992_ARIZONA,ARIZONA,1992,215.0,265.0,209.0,
1992_ARKANSAS,ARKANSAS,1992,210.0,256.0,211.0,
1992_CALIFORNIA,CALIFORNIA,1992,208.0,261.0,202.0,
1992_COLORADO,COLORADO,1992,221.0,272.0,217.0,
1992_CONNECTICUT,CONNECTICUT,1992,227.0,274.0,222.0,
1992_DELAWARE,DELAWARE,1992,218.0,263.0,213.0,
1992_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1992,193.0,235.0,188.0,
1992_DODEA,DODEA,1992,,,,
1992_FLORIDA,FLORIDA,1992,214.0,260.0,208.0,
1992_GEORGIA,GEORGIA,1992,216.0,259.0,212.0,
1992_HAWAII,HAWAII,1992,214.0,257.0,203.0,
1992_IDAHO,IDAHO,1992,222.0,275.0,219.0,
1992_ILLINOIS,ILLINOIS,1992,,,,
1992_INDIANA,INDIANA,1992,221.0,270.0,221.0,
1992_IOWA,IOWA,1992,230.0,283.0,225.0,
1992_KANSAS,KANSAS,1992,,,,
1992_KENTUCKY,KENTUCKY,1992,215.0,262.0,213.0,
1992_LOUISIANA,LOUISIANA,1992,204.0,250.0,204.0,
1992_MAINE,MAINE,1992,232.0,279.0,227.0,
1992_MARYLAND,MARYLAND,1992,217.0,265.0,211.0,
1992_MASSACHUSETTS,MASSACHUSETTS,1992,227.0,273.0,226.0,
1992_MICHIGAN,MICHIGAN,1992,220.0,267.0,216.0,
1992_MINNESOTA,MINNESOTA,1992,228.0,282.0,221.0,
1992_MISSISSIPPI,MISSISSIPPI,1992,202.0,246.0,199.0,
1992_MISSOURI,MISSOURI,1992,222.0,271.0,220.0,
